worms_phylum,worms_valid_name,worms_id,checklist,idigbio,obis,bold
acanthocephala,Andracantha gravida,419310,1,0,1,0
acanthocephala,Arhythmorhynchus frassoni,419311,1,0,1,1
acanthocephala,Arhythmorhynchus pumilirostris,419312,1,0,1,0
acanthocephala,Arhythmorhynchus uncinatus,419313,1,0,1,0
acanthocephala,Atactorhynchus verecundus,159685,1,0,1,0
acanthocephala,Bolbosoma vasculosum,100607,1,0,1,0
acanthocephala,Caballerorhynchus lamothei,419300,1,1,1,0
acanthocephala,Dollfusentis bravoae,419302,1,0,1,0
acanthocephala,Dollfusentis chandleri,159693,1,1,1,1
acanthocephala,Dollfusentis ctenorhynchus,419303,1,0,1,0
acanthocephala,Filisoma fidum,419301,1,0,1,0
acanthocephala,Floridosentis mugilis,100616,1,0,1,0
acanthocephala,Gorgorhynchoides bullocki,419307,1,1,1,0
acanthocephala,Gorgorhynchus clavatus,419308,1,0,1,0
acanthocephala,Gorgorhynchus medius,419309,1,0,1,0
acanthocephala,Hexaglandula corynosoma,419314,1,0,1,0
acanthocephala,Illiosentis heteracanthus,419304,1,0,1,0
acanthocephala,Octospiniferoides chandleri,419319,1,0,1,0
acanthocephala,Pomphorhynchus lucyi,419306,1,0,1,0
acanthocephala,Serrasentis sagittifer,159728,1,1,1,0
acanthocephala,Southwellina dimorpha,419317,1,0,1,0
acanthocephala,Southwellina hispida,100647,1,1,1,0
acanthocephala,Tegorhynchus furcatus,419305,1,1,1,0
acanthocephala,Arhythmorhynchus brevis,159682,0,1,1,1
acanthocephala,Leptorhynchoides acanthidion,845749,0,1,0,0
acanthocephala,Polymorphus acutis,159716,0,0,1,0
acanthocephala,Polymorphus kenti,159720,0,0,1,0
acanthocephala,Profilicollis altmani,448882,0,0,1,1
annelida,Aberranta palpata,326195,1,1,1,0
annelida,Acoetes pacifica,332886,1,1,1,0
annelida,Acoetes pleei,326208,1,1,1,0
annelida,Acrocirrus frontifilis,129739,1,1,1,0
annelida,Acromegalomma bioculatum,994105,1,1,1,0
annelida,Acromegalomma heterops,994128,1,1,1,0
annelida,Acromegalomma lobiferum,994106,1,1,1,0
annelida,Acromegalomma pigmentum,994130,1,1,1,0
annelida,Acromegalomma quadrioculatum,994135,1,1,1,0
annelida,Acromegalomma vesiculosum,994123,1,1,1,0
annelida,Admetella longipedata,214466,1,1,1,0
annelida,Aglaophamus circinata,157145,1,1,1,0
annelida,Aglaophamus verrilli,157147,1,1,1,0
annelida,Alitta succinea,234850,1,1,1,1
annelida,Alitta virens,234851,1,1,1,1
annelida,Allia alisdairi,421026,1,0,1,0
annelida,Allia bryani,421027,1,0,1,0
annelida,Allia quadrilobata,421028,1,0,1,0
annelida,Allia trilobata,421030,1,0,0,0
annelida,Amaeana trilobata,131471,1,1,1,0
annelida,Americonuphis magna,332921,1,1,1,0
annelida,Ampharete acutifrons,129775,1,1,1,1
annelida,Ampharete lindstroemi,129781,1,1,1,0
annelida,Ampharete octocirrata,332932,1,1,1,1
annelida,Ampharete parvidentata,159918,1,1,1,0
annelida,Amphicteis gunneri,129784,1,1,1,0
annelida,Amphicteis scaphobranchiata,326344,1,1,1,1
annelida,Amphinome rostrata,129825,1,1,1,1
annelida,Ancistrosyllis carolinensis,157167,1,1,1,0
annelida,Ancistrosyllis commensalis,326443,1,1,1,0
annelida,Ancistrosyllis groenlandica,130695,1,1,1,1
annelida,Ancistrosyllis hamata,332974,1,1,1,0
annelida,Ancistrosyllis hartmanae,157168,1,1,1,0
annelida,Aonidella cirrobranchiata,562800,1,1,1,0
annelida,Aonidella dayi,332986,1,1,1,0
annelida,Aonides mayaguezensis,157179,1,1,1,0
annelida,Aonides paucibranchiata,131107,1,1,1,0
annelida,Aphelochaeta filiformis,129937,1,1,1,0
annelida,Aphelochaeta marioni,129938,1,1,1,0
annelida,Aphelochaeta monilaris,332990,1,1,1,0
annelida,Aphelochaeta phillipsi,326480,1,0,1,0
annelida,Aphelochaeta williamsae,326482,1,0,1,0
annelida,Aphrogenia alba,129843,1,1,1,0
annelida,Arabella iricolor,129854,1,1,1,1
annelida,Arabella mutans,157203,1,1,1,0
annelida,Arenicola cristata,129866,1,1,1,0
annelida,Arichlidon gathofi,326577,1,1,1,0
annelida,Aricidea (Acmira) catherinae,333034,1,1,0,1
annelida,Aricidea (Acmira) cerrutii,525497,1,1,0,0
annelida,Aricidea (Acmira) finitima,525483,1,0,0,0
annelida,Aricidea (Acmira) lopezi,333036,1,1,0,0
annelida,Aricidea (Acmira) simplex,333037,1,0,0,1
annelida,Aricidea (Acmira) taylori,882558,1,1,0,0
