worms_phylum,worms_valid_name,worms_id,checklist,idigbio,obis,bold
annelida,Abarenicola claparedi vagabunda,335762,0,1,0,0
annelida,Abarenicola pacifica,326192,1,1,1,0
annelida,Acrocirrus columbianus,326211,1,0,1,0
annelida,Acrocirrus heterochaetus,326213,1,0,1,0
annelida,Acrocirrus occipitalis,326216,1,0,0,0
annelida,Acromegalomma splendidum,994124,1,0,1,0
annelida,Ainudrilus oceanicus aprostatus,476155,0,1,0,0
annelida,Aktedrilus labeosus,475575,1,0,0,0
annelida,Aktedrilus oregonensis,475580,1,1,1,0
annelida,Alciopa reynaudii,129749,1,1,0,0
annelida,Alitta brandti,339215,1,1,0,0
annelida,Alitta succinea,234850,0,0,1,1
annelida,Alitta virens,234851,1,0,1,1
annelida,Amaeana occidentalis,332917,1,0,1,1
annelida,Amage anops,332918,1,0,1,1
annelida,Amage scutata,326277,0,1,1,1
annelida,Ampharete acutifrons,129775,1,1,1,1
annelida,Ampharete arctica,159916,0,1,0,0
annelida,Ampharete finmarchica,129778,1,1,1,1
annelida,Ampharete gagarae,332930,0,1,0,0
annelida,Ampharete labrops,326317,1,0,1,1
annelida,Ampharete lineata,744688,1,0,1,0
annelida,Ampharete sibirica,332933,1,0,1,0
annelida,Amphicteis glabra,326333,1,0,1,0
annelida,Amphicteis mucronata,326335,1,1,1,0
annelida,Amphicteis scaphobranchiata,326344,1,0,1,1
annelida,Amphictene moorei,332939,1,0,0,0
annelida,Amphisamytha bioculata,332947,1,0,0,1
annelida,Amphitrite cirrata,131474,1,0,0,1
annelida,Amphitrite edwardsii,332950,0,0,1,0
annelida,Anobothrus gracilis,129789,1,1,1,1
annelida,Aphelochaeta glandaria,326478,0,0,1,0
annelida,Aphelochaeta monilaris,332990,0,0,1,0
annelida,Aphelochaeta multifilis,332992,1,0,0,0
annelida,Aphelochaeta serratiseta,332995,1,0,0,0
annelida,Aphelochaeta tigrina,326481,0,0,1,0
annelida,Aphrodita japonica,326499,1,0,1,0
annelida,Aphrodita longipalpa,326502,1,0,1,1
annelida,Aphrodita negligens,332999,1,1,1,0
annelida,Aphrodita parva,333000,1,0,0,0
annelida,Aphrodita refulgida,333001,1,0,0,1
annelida,Apistobranchus ornatus,326532,1,0,1,0
annelida,Apistobranchus tullbergi,129851,1,0,0,0
annelida,Apomatus geniculatus,746403,1,0,0,0
annelida,Arabella iricolor,129854,1,0,0,1
annelida,Arabella semimaculata,333026,1,0,0,1
annelida,Arcteobia anticostiensis,157214,0,0,1,0
annelida,Arctonoe fragilis,333029,1,1,1,1
annelida,Arctonoe pulchra,333030,1,1,1,1
annelida,Arctonoe vittata,254301,1,1,1,1
annelida,Arenicola marina,129868,1,0,0,1
annelida,Arhynchite pugettensis,266731,1,1,1,0
annelida,Aricidea (Acmira) assimilis,525486,1,0,0,0
annelida,Aricidea (Acmira) cerrutii,525497,0,1,0,0
annelida,Aricidea (Acmira) lopezi,333036,1,1,0,0
annelida,Aricidea (Aedicira) pacifica,333039,0,1,0,1
annelida,Aricidea (Allia) ramosa,333043,1,0,0,0
annelida,Aricidea (Aricidea) minuta,730747,1,0,0,0
annelida,Aricidea (Aricidea) wassi,326605,1,0,0,1
annelida,Aricidea (Strelzovia) quadrilobata,734529,1,0,0,0
annelida,Aricidea neosuecica,130566,1,0,0,0
annelida,Armandia brevis,333048,1,1,1,1
annelida,Artacama coniferi,326651,0,0,1,0
annelida,Asclerocheilus beringianus,326667,1,0,1,0
annelida,Asychis disparidentata,333055,1,0,0,0
annelida,Asychis similis,333058,1,0,0,0
annelida,Axiothella rubrocincta,254726,1,1,1,1
annelida,Bansella oregonica,533794,1,0,0,0
annelida,Barantolla americana,254727,1,0,1,0
annelida,Bathydrilus litoreus,475607,1,1,1,0
annelida,Bathydrilus torosus,475619,1,0,0,0
annelida,Bergstroemia nigrimaculata,333101,1,0,1,0
annelida,Beringobdella rectangulata,370605,1,0,0,0
annelida,Betapista dekkerae,327227,1,0,0,0
annelida,Bipalponephtys cornuta,558190,0,1,1,1
annelida,Bispira crassicornis,130871,1,0,0,0
annelida,Bispira elegans,333106,0,0,1,0
annelida,Boccardia columbiana,327243,1,0,1,0
annelida,Boccardia polybranchia,131111,1,0,0,0
annelida,Boccardia proboscidea,327249,1,0,1,0
annelida,Boccardia pugettensis,327251,1,1,1,0
annelida,Boccardiella hamata,333121,1,0,1,1
annelida,Boccardiella ligerica,131114,0,0,1,0
annelida,Brada sachalina,327264,1,1,1,0
annelida,Brada villosa,130099,1,0,1,0
annelida,Branchellion lobata,370607,1,0,0,0
annelida,Branchiomaldane vincenti,129872,1,0,0,0
annelida,Brania brevipharyngea,327294,1,1,1,0
annelida,Bushiella (Jugaria) quadrangularis,333162,1,0,0,0
annelida,Bushiella verruca,131197,1,0,0,0
annelida,Bylgides macrolepidus,333166,1,1,1,1
annelida,Calliobdella knightjonesi,370611,1,0,0,0
annelida,Capitella capitata,129876,1,0,1,1
annelida,Carazziella hobsonae,327357,0,0,1,0
annelida,Caulleriella alata,129943,1,0,0,0
annelida,Caulleriella bioculata,129944,0,0,1,0
annelida,Caulleriella hamata,333177,1,0,1,0
annelida,Caulleriella pacifica,333178,0,0,1,0
annelida,Ceratocephale loveni,130367,1,0,0,0
annelida,Ceratonereis (Composetia) paucidentata,333213,1,0,0,0
annelida,Chaetopterus variopedatus,129914,1,0,1,1
annelida,Chaetozone acuta,327407,1,1,1,0
annelida,Chaetozone bansei,327411,0,1,1,0
annelida,Chaetozone columbiana,327415,0,1,1,1
annelida,Chaetozone commonalis,327416,0,0,1,0
annelida,Chaetozone hartmanae,327421,0,0,1,1
annelida,Chaetozone lunula,327424,0,0,1,0
annelida,Chaetozone malmgreni,834160,0,0,1,0
annelida,Chaetozone pugettensis,834161,0,0,1,0
annelida,Chaetozone setosa,129955,1,1,1,1
annelida,Chaetozone spinosa,327430,1,0,0,0
annelida,Cheilonereis cyclurus,332676,1,1,1,1
annelida,Chirimia biceps biceps,341077,1,0,0,0
annelida,Chirimia biceps lacera,851637,1,0,0,0
annelida,Chloeia entypa,326714,1,0,0,0
annelida,Chloeia pinnata,326722,1,0,0,1
annelida,Chone aurantiaca,332678,1,0,0,0
annelida,Chone duneri,130888,1,0,1,0
annelida,Chone gracilis,238374,0,0,1,0
annelida,Chone infundibuliformis,130891,1,0,0,1
annelida,Chone magna,332682,1,0,1,0
annelida,Chone minuta,326735,0,0,1,0
annelida,Chone mollis,254730,1,0,1,1
annelida,Chrysopetalum occidentale,326752,1,0,1,1
annelida,Circeis armoricana,131198,1,0,1,1
annelida,Circeis spirillum,131201,1,1,1,0
annelida,Cirratulus cirratus,129959,1,0,1,1
annelida,Cirratulus multioculatus,332685,0,0,1,0
annelida,Cirratulus robustus,332687,0,0,1,0
annelida,Cirratulus spectabilis,332688,1,1,1,1
annelida,Cirriformia spirabrancha,332700,0,0,1,0
annelida,Cirriformia spirabranchia,332701,1,0,0,0
annelida,Cirrophorus branchiatus,130576,1,0,1,1
annelida,Cistenides granulata,238377,1,1,1,1
annelida,Claudrilus flabelliger,998046,1,0,1,0
annelida,Clymenella torquata,130279,1,0,1,1
annelida,Clymenella zonalis,157320,1,0,1,1
annelida,Clymenura columbiana,340395,1,0,0,0
annelida,Clymenura gracilis,326833,0,0,1,0
annelida,Cossura bansei,326845,0,0,1,0
annelida,Cossura candida,326847,0,1,1,0
annelida,Cossura longocirrata,129984,1,0,0,0
annelida,Cossura pygodactylata,129985,0,1,1,0
annelida,Cossura rostrata,326856,0,0,1,0
annelida,Cossura soyeri,129986,1,0,0,0
annelida,Crucigera irregularis,337963,1,0,0,0
annelida,Crucigera zygophora,332723,1,1,1,1
annelida,Ctenodrilus serratus,129989,1,0,0,0
annelida,Decamastus gracilis,326885,1,0,1,1
annelida,Dialychone albocincta,882439,0,1,0,0
annelida,Diopatra ornata,326964,1,0,1,0
annelida,Dipolydora armata,131115,1,0,0,0
annelida,Dipolydora bidentata,332753,0,0,1,1
annelida,Dipolydora cardalia,332755,1,1,1,0
annelida,Dipolydora caulleryi,131116,1,0,1,0
annelida,Dipolydora commensalis,332756,1,0,0,0
annelida,Dipolydora elegantissima,332757,0,0,1,0
annelida,Dipolydora giardi,131119,1,0,1,0
annelida,Dipolydora quadrilobata,131121,1,0,1,0
annelida,Dipolydora socialis,131124,0,0,1,1
annelida,Diurodrilus ankeli,327008,1,0,0,0
annelida,Dodecaceria concharum,129967,1,0,1,1
annelida,Dodecaceria fewkesi,327435,1,0,1,1
annelida,Dodecaceria fistulicola,210029,0,1,1,0
annelida,Drilonereis falcata,327464,0,0,1,0
annelida,Drilonereis longa,157357,1,0,1,1
annelida,Drilonereis nuda,327471,1,0,0,0
annelida,Dysponetus pygmaeus,129932,1,0,0,0
annelida,Echiurus echiurus,110377,0,1,1,0
annelida,Ehlersia heterochaeta,332784,0,0,1,0
annelida,Enchytraeus kincaidi,475668,1,0,0,0
annelida,Enchytraeus multiannulatus,475669,1,0,0,0
annelida,Epigamia alexandri,238180,1,0,1,1
annelida,Epigamia magna,817900,1,0,0,1
annelida,Eranno bicirrata,332792,1,1,1,0
annelida,Eranno lagunae,332794,1,1,1,0
annelida,Eteone balboensis,327521,0,0,1,0
annelida,Eteone barbata,231870,0,0,1,0
annelida,Eteone brigitteae,327522,0,0,1,0
annelida,Eteone californica,327523,1,0,1,0
annelida,Eteone columbiensis,327525,0,1,1,0
annelida,Eteone leptotes,327530,0,0,1,0
annelida,Eteone longa,130616,1,0,1,0
annelida,Eteone pacifica,254735,1,0,1,0
annelida,Eteone pigmentata,327535,0,0,1,0
annelida,Eteone spetsbergensis,130618,1,0,0,0
