1,worms_phylum,worms_class,worms_order,worms_family,worms_valid_name,erroneous record,worms_id,checklist_crust,checklist_molluscs,idigbio,obis,bold
9,acanthocephala,eoacanthocephala,neoechinorhynchida,neoechinorhynchidae,Atactorhynchus verecundus,,159685,0,0,0,1,0
10,acanthocephala,eoacanthocephala,neoechinorhynchida,neoechinorhynchidae,Floridosentis mugilis,,100616,0,0,0,1,0
11,acanthocephala,eoacanthocephala,neoechinorhynchida,neoechinorhynchidae,Neoechinorhynchus (Hebesoma) doryphorus,,419318,0,0,0,1,0
12,acanthocephala,eoacanthocephala,neoechinorhynchida,neoechinorhynchidae,Octospiniferoides chandleri,,419319,0,0,0,1,0
13,acanthocephala,palaeacanthocephala,echinorhynchida,cavisomidae,Filisoma fidum,,419301,0,0,0,1,0
2,acanthocephala,palaeacanthocephala,echinorhynchida,echinorhynchidae,Echinorhynchus canyonensis,,448679,0,0,1,0,0
14,acanthocephala,palaeacanthocephala,echinorhynchida,illiosentidae,Dollfusentis chandleri,,159693,0,0,0,1,1
15,acanthocephala,palaeacanthocephala,echinorhynchida,illiosentidae,Dollfusentis ctenorhynchus,,419303,0,0,0,1,0
16,acanthocephala,palaeacanthocephala,echinorhynchida,illiosentidae,Illiosentis heteracanthus,,419304,0,0,0,1,0
17,acanthocephala,palaeacanthocephala,echinorhynchida,illiosentidae,Tegorhynchus furcatus,,419305,0,0,0,1,0
18,acanthocephala,palaeacanthocephala,echinorhynchida,isthmosacanthidae,Gorgorhynchoides bullocki,,419307,0,0,0,1,0
23,acanthocephala,palaeacanthocephala,polymorphida,plagiorhynchidae,Plagiorhynchus (Plagiorhynchus) crassicollis,,100632,0,0,0,1,0
24,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Andracantha gravida,,419310,0,0,0,1,0
25,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Arhythmorhynchus brevis,,159682,0,0,0,1,1
26,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Arhythmorhynchus frassoni,,419311,0,0,0,1,1
27,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Arhythmorhynchus pumilirostris,,419312,0,0,0,1,0
28,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Arhythmorhynchus uncinatus,,419313,0,0,0,1,0
29,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Bolbosoma vasculosum,,100607,0,0,0,1,0
6,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Corynosoma enhydri,,990000,0,0,1,0,0
7,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Corynosoma strumosum,,100614,0,0,1,0,0
30,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Hexaglandula corynosoma,,419314,0,0,0,1,0
31,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Polymorphus acutis,,159716,0,0,0,1,0
32,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Polymorphus kenti,,159720,0,0,0,1,0
33,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Polymorphus obtusus,,419316,0,0,0,1,1
34,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Profilicollis altmani,,448882,0,0,0,1,1
8,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Profilicollis botulus,,448883,0,0,1,0,0
35,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Southwellina dimorpha,,419317,0,0,0,1,0
36,acanthocephala,palaeacanthocephala,polymorphida,polymorphidae,Southwellina hispida,,100647,0,0,0,1,0
19,acanthocephala,palaeacanthocephala,echinorhynchida,pomphorhynchidae,Pomphorhynchus lucyi,,419306,0,0,0,1,0
20,acanthocephala,palaeacanthocephala,echinorhynchida,rhadinorhynchidae,Gorgorhynchus clavatus,,419308,0,0,0,1,0
21,acanthocephala,palaeacanthocephala,echinorhynchida,rhadinorhynchidae,Gorgorhynchus medius,,419309,0,0,0,1,0
3,acanthocephala,palaeacanthocephala,echinorhynchida,rhadinorhynchidae,Rhadinorhynchus trachuri,,448816,0,0,1,0,0
22,acanthocephala,palaeacanthocephala,echinorhynchida,rhadinorhynchidae,Serrasentis sagittifer,,159728,0,0,0,1,0
2284,annelida,clitellata,enchytraeida,enchytraeidae,Enchytraeus albidus,,137402,0,0,0,1,1
38,annelida,clitellata,enchytraeida,enchytraeidae,Grania americana,,475674,0,0,1,1,1
39,annelida,clitellata,enchytraeida,enchytraeidae,Grania atlantica,,137411,0,0,1,1,0
40,annelida,clitellata,enchytraeida,enchytraeidae,Grania bermudensis,,475676,0,0,1,0,0
41,annelida,clitellata,enchytraeida,enchytraeidae,Grania hylae,,475694,0,0,1,1,0
42,annelida,clitellata,enchytraeida,enchytraeidae,Grania levis,,475700,0,0,1,1,0
43,annelida,clitellata,enchytraeida,enchytraeidae,Grania longiducta,,475701,0,0,1,0,0
44,annelida,clitellata,enchytraeida,enchytraeidae,Grania monospermatheca,,475704,0,0,1,0,1
45,annelida,clitellata,enchytraeida,enchytraeidae,Grania papillinasus,,388027,0,0,1,1,0
46,annelida,clitellata,enchytraeida,enchytraeidae,Grania postclitellochaeta,,137416,0,0,1,1,1
47,annelida,clitellata,enchytraeida,enchytraeidae,Grania reducta,,475713,0,0,1,1,0
48,annelida,clitellata,enchytraeida,enchytraeidae,Lumbricillus lineatus,,137438,0,0,1,1,1
49,annelida,clitellata,enchytraeida,enchytraeidae,Marionina diazi,,475895,0,0,1,1,0
50,annelida,clitellata,enchytraeida,enchytraeidae,Marionina nevisensis,,475910,0,0,1,0,1
51,annelida,clitellata,enchytraeida,enchytraeidae,Marionina subterranea,,137473,0,0,1,1,0
52,annelida,clitellata,enchytraeida,enchytraeidae,Marionina welchi,,475922,0,0,1,1,0
53,annelida,clitellata,enchytraeida,enchytraeidae,Randidrilus codensis,,476058,0,0,1,0,0
54,annelida,clitellata,enchytraeida,enchytraeidae,Randidrilus quadrithecatus,,476059,0,0,1,1,0
55,annelida,clitellata,enchytraeida,enchytraeidae,Stephensoniella marina,,476093,0,0,1,0,0
58,annelida,clitellata,haplotaxida,naididae,Abyssidrilus altoides,,475540,0,0,1,1,0
59,annelida,clitellata,haplotaxida,naididae,Abyssidrilus opulentus,,475543,0,0,1,1,0
60,annelida,clitellata,haplotaxida,naididae,Abyssidrilus potens,,475544,0,0,1,1,0
62,annelida,clitellata,haplotaxida,naididae,Abyssidrilus profundus,,176216,0,0,1,0,0
2285,annelida,clitellata,haplotaxida,naididae,Abyssidrilus remus,,475545,0,0,0,1,0
63,annelida,clitellata,haplotaxida,naididae,Adelodrilus acochlearis,,999825,0,0,1,0,0
64,annelida,clitellata,haplotaxida,naididae,Adelodrilus anisosetosus,,475548,0,0,1,1,0
65,annelida,clitellata,haplotaxida,naididae,Adelodrilus bacrionis,,475549,0,0,1,1,0
66,annelida,clitellata,haplotaxida,naididae,Adelodrilus cristatus,,475551,0,0,1,1,0
67,annelida,clitellata,haplotaxida,naididae,Adelodrilus fimbriatus,,475552,0,0,1,1,0
68,annelida,clitellata,haplotaxida,naididae,Adelodrilus inopinatus,,475553,0,0,1,0,0
69,annelida,clitellata,haplotaxida,naididae,Adelodrilus magnithecatus,,475554,0,0,1,0,0
70,annelida,clitellata,haplotaxida,naididae,Adelodrilus multispinosus,,475555,0,0,1,1,0
71,annelida,clitellata,haplotaxida,naididae,Adelodrilus voraginus,,475557,0,0,1,1,0
72,annelida,clitellata,haplotaxida,naididae,Aktedrilus floridensis,,475572,0,0,1,0,0
73,annelida,clitellata,haplotaxida,naididae,Aktedrilus oregonensis,,475580,0,0,1,1,0
75,annelida,clitellata,haplotaxida,naididae,Atlantidrilus biparis,,176234,0,0,1,0,0
76,annelida,clitellata,haplotaxida,naididae,Atlantidrilus hamulus,,475592,0,0,1,1,0
77,annelida,clitellata,haplotaxida,naididae,Atlantidrilus rostratus,,475594,0,0,1,1,0
2286,annelida,clitellata,haplotaxida,naididae,Atlantidrilus vestigium,,475595,0,0,0,1,0
78,annelida,clitellata,haplotaxida,naididae,Bathydrilus adriaticus,,137517,0,0,1,1,0
79,annelida,clitellata,haplotaxida,naididae,Bathydrilus asymmetricus,,475596,0,0,1,1,0
80,annelida,clitellata,haplotaxida,naididae,Bathydrilus atlanticus,,137518,0,0,1,1,0
81,annelida,clitellata,haplotaxida,naididae,Bathydrilus connexus,,475599,0,0,1,1,0
82,annelida,clitellata,haplotaxida,naididae,Bathydrilus formosus,,475603,0,0,1,1,0
83,annelida,clitellata,haplotaxida,naididae,Bathydrilus ingens,,475606,0,0,1,1,0
84,annelida,clitellata,haplotaxida,naididae,Bathydrilus longiatriatus,,475608,0,0,1,1,0
85,annelida,clitellata,haplotaxida,naididae,Bathydrilus longus,,475609,0,0,1,1,0
86,annelida,clitellata,haplotaxida,naididae,Bathydrilus macroprostatus,,475610,0,0,1,1,0
87,annelida,clitellata,haplotaxida,naididae,Bathydrilus medius,,137521,0,0,1,1,0
88,annelida,clitellata,haplotaxida,naididae,Bathydrilus notabilis,,475613,0,0,1,1,0
89,annelida,clitellata,haplotaxida,naididae,Bathydrilus parkeri,,475615,0,0,1,1,0
90,annelida,clitellata,haplotaxida,naididae,Bathydrilus sandersi,,137523,0,0,1,1,0
2287,annelida,clitellata,haplotaxida,naididae,Branchiura sowerbyi,,182695,0,0,0,1,1
91,annelida,clitellata,haplotaxida,naididae,Coralliodrilus corpulentus,,475631,0,0,1,1,0
92,annelida,clitellata,haplotaxida,naididae,Coralliodrilus priscus,,475642,0,0,1,1,0
2288,annelida,clitellata,haplotaxida,naididae,Heterodrilus arenicolus,,137548,0,0,0,1,0
93,annelida,clitellata,haplotaxida,naididae,Heterodrilus bulbiporus,,475729,0,0,1,0,1
94,annelida,clitellata,haplotaxida,naididae,Heterodrilus hispidus,,475739,0,0,1,1,0
95,annelida,clitellata,haplotaxida,naididae,Heterodrilus minisetosus,,475747,0,0,1,0,1
96,annelida,clitellata,haplotaxida,naididae,Heterodrilus occidentalis,,475750,0,0,1,1,0
97,annelida,clitellata,haplotaxida,naididae,Heterodrilus pentcheffi,,475752,0,0,1,1,1
98,annelida,clitellata,haplotaxida,naididae,Heterodrilus perkinsi,,475753,0,0,1,1,1
